"","x"
"640",5
"641",4
"642",4
"643",5
"644",5
"645",6
"646",8
"647",8
"648",7
"649",6
"650",4
"651",3
"652",4
"653",6
"654",3
"655",4
"656",5
"657",3
"658",4
"659",3
"660",3
"661",6
"662",6
"663",5
"664",7
"665",3
"666",5
"667",4
"668",5
"669",5
"670",4
"671",5
"672",8
"673",7
"674",3
"675",9
"676",7
"677",10
"678",6
"679",5
"680",8
"681",6
"682",6
"683",7
"684",6
"685",4
"686",6
"687",4
"688",3
"689",6
"690",5
"691",5
"692",4
"693",5
"694",6
"695",6
"696",6
"697",12
"698",7
"699",11
"700",4
"701",5
"702",4
"703",7
"704",10
"705",6
"706",7
"707",8
"708",11
"709",12
"710",10
"711",4
"712",6
"713",5
"714",7
"715",6
"716",5
"717",5
"718",5
"719",7
"720",8
"721",5
"722",6
"723",6
"724",5
"725",9
"726",6
"727",8
"728",9
"729",6
"730",6
"731",6
"732",5
"733",3
"734",5
"735",6
"736",6
"737",5
"738",7
"739",5
"740",4
"741",4
"742",3
"743",6
"744",7
"745",7
"746",4
"747",6
"748",7
"749",7
"750",6
"751",6
"752",8
"753",5
"754",4
"755",4
"756",4
"757",5
"758",7
"759",9
"760",7
"761",4
"762",7
"763",4
"764",7
"765",5
"766",5
"767",8
"768",4
"769",8
"770",6
"771",6
"772",4
"773",7
"774",4
"775",4
"776",9
"777",8
"778",5
"779",7
"780",7
"781",6
"782",6
"783",9
"784",7
"785",8
"786",8
"787",6
"788",6
"789",6
"790",6
"791",5
"792",7
"793",5
"794",4
"795",4
"796",8
"797",7
"798",5
"799",5
"800",8
"801",4
"802",5
"803",4
"804",6
"805",6
"806",4
"807",5
"808",7
"809",6
"810",8
"811",11
"812",6
"813",4
"814",4
"815",7
"816",3
"817",7
"818",11
"819",6
"820",4
"821",5
"822",6
"823",8
"824",6
"825",9
"826",5
"827",6
"828",4
"829",8
"830",7
"831",8
"832",7
"833",6
"834",13
"835",15
"836",7
"837",7
"838",10
"839",7
"840",4
"841",11
"842",11
"843",7
"844",7
"845",8
"846",5
"847",7
"848",4
"849",3
"850",9
"851",7
"852",8
"853",6
"854",6
"855",5
"856",6
"857",11
"858",6
"859",6
"860",6
"861",4
"862",6
"863",3
"864",6
"865",3
"866",4
"867",4
"868",10
"869",7
"870",6
"871",4
"872",7
"873",3
"874",7
"875",5
"876",6
"877",5
"878",8
"879",5
"880",7
"881",7
"882",5
"883",6
"884",8
"885",8
"886",6
"887",8
"888",8
"889",11
"890",8
"891",7
"892",8
"893",7
"894",7
"895",4
"896",8
"897",5
"898",4
"899",4
"900",5
"901",7
"902",7
"903",6
"904",4
"905",3
"906",4
"907",10
"908",4
"909",6
"910",9
"911",6
"912",4
"913",4
"914",5
"915",5
"916",7
"917",7
"918",7
"919",6
"920",7
"921",4
"922",8
"923",9
"924",6
"925",6
"926",4
"927",5
"928",6
"929",4
"930",3
"931",5
"932",4
"933",5
"934",6
"935",3
"936",5
"937",4
"938",4
"939",4
"940",6
"941",5
"942",5
"943",7
"944",6
"945",3
"946",5
"947",6
"948",6
"949",5
"950",6
"951",6
"952",6
"953",6
"954",10
"955",3
"956",4
"957",4
"958",7
"959",6
"960",7
"961",4
"962",6
"963",7
"964",6
"965",7
"966",8
"967",3
"968",6
"969",5
"970",5
"971",7
"972",7
"973",6
"974",6
"975",8
"976",7
"977",7
"978",5
"979",5
"980",6
"981",6
"982",5
"983",7
"984",4
"985",6
"986",5
"987",6
"988",6
"989",3
"990",4
"991",7
"992",5
"993",9
"994",4
"995",3
"996",4
"997",7
"998",5
"999",5
"1000",6
"1001",4
"1002",7
"1003",4
"1004",6
"1005",9
"1006",5
"1007",6
"1008",8
"1009",6
"1010",7
"1011",8
"1012",8
"1013",8
"1014",5
"1015",5
"1016",4
"1017",6
"1018",10
"1019",6
"1020",4
"1021",4
"1022",10
"1023",5
